Incidente_Tipo;Incidente_ID;FECHA;Incidente_Hora;Incidente_Título;Incidente_Desc;Incidente_Severidad_Real;Incidente_Severidad_Potencial;Incidente_Relación_Laboral;Incidente_Registrabilidad_Desc;Investigación_Obligatoria;Activo_Empresa_Contratista;Vehiculo_Desc;Incidente_UT;Activo_Ubicación_Técnica;Incidente_Lugar;Activo_Descripción;Activo_Patente;Activo_Modelo;Activo_Marca;Activo_ID;Activo_Area;DESC_CLASE_DE_DAÑO_VEHICULAR;INCIDENTE_CONSECUENCIA_POTENCIAL;INCIDENTE_PRECURSOR;Incidente_ReglaOro;SEGMENTO;UBIC_TECNICA_NIVEL1;UBIC_TECNICA_NIVEL2;UBIC_TECNICA_NIVEL3;Función;Gerencia;SECTOR;SUBSECTOR;Incidente_ZZLATITUD_GMS_GRAD;Incidente_ZZLATITUD_GMS_MIN;Incidente_ZZLATITUD_GMS_SEG;Incidente_ZZLONGITUD_GMS_GRAD;Incidente_ZZLONGITUD_GMS_MIN;Incidente_ZZLONGITUD_GMS_SEG;Persona_Responsable;Persona_Rol
INSTALACIONES;169298;08/07/2022;14:05:00;LIN 2022-07-08-SPP-Inst./Equipos NR-Colisión contra obj. fijos-Tercero;"Guardabarreras observa un vehículo pickup de color negro doble cabina (particular) que venia ingresando por el camino principal. En la zona del PMC, el vehículo acelera y colisiona con los derivadores plásticos que estaban colocados alrededor del Puesto deControl destruyéndolos. La camioneta no se detuvo y se dió a la fuga. Sin heridos.";5;5;No Laboral;2: No Registrable;;;;LINDERO ATRAVESADO OCCIDENTAL;;Camino Perilago. Zona del PMC;;;;;;;;COLISIÓN DE VEHÍCULO;Velocidades extremas o en Exceso;Seguridad vehicular;Upstream;Neuquen;1;LOC;OTROS;NQN-SEGURIDAD PATRIMONIAL;SEGURIDAD PATRIMONIAL;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;S8629;20/12/2017;;DVA 57  EC COR Roce en curva de ruta con rotura de vigías;EC CORME vacío circulaba de N a S por Ruta Nº 101, cuando en una curva con prohibición de no adelantar de ambos lados, un bus con pasajeros sale sorpresivamente de calle lateral de E a W e invade la doble línea amarilla. El chofer del camió;5;5;X;2: No Registrable;;;;;;;;;;;;;;;;;Downstream;Tabasco;NO APLICA;NOAPLICA;OTROS;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;;;;;;;;;
INSTALACIONES;S9423;42875;;PD 03 - EC MRT estacionado en descanso  es rozado por 3PV . Daños menores en  luz de giro trasera.;EC MRT se encontraba estacionado realizando descanso de 15 min. y un camión (3PV) que ingresaba para estacionar, roza la luz de giro trasera derecha doblando el marco de la misma. El equipo continúa viaje hacia destino, daños menores no afe;5;5;X;1: Registrable;;;;;;;;;;;;;;;;;Downstream;Tabasco;NO APLICA;NOAPLICA;OTROS;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;;;;;;;;;
VEHICULAR;94908;19/05/2021;10:30:00;RP51 2021-05-19-O&M-CVM Ex-Rotura del neumático de camión hidrogrúa-MPSA;Aprox. en el Km. 28, al camión hidrogrúa se le revienta el neumático delantero derecho. El conductor realiza maniobra y se dirige a la banquina (lugar seguro);6;6;X;3: Excepción;;MANPETROL S.A.;;LINDERO ATRAVESADO OCCIDENTAL;;Ruta Provincial N°51;Camión hidrogrúa (Int. 412);NRP008; ; ; ;;;VUELCO DE VEHÍCULO;Vehículos en mal estado;Seguridad vehicular;Upstream;Neuquen;1;LOC;PRODUCCIÓN & MANTENIMIENTO;NQN-MANTENIMIENTO;MANTENIMIENTO;MECANICA;0;0;0;0;0;0;;
INSTALACIONES;145918;21/02/2022;21:05:00;LIN 2022-02-21-OPC-Instalaciones/Equipos-Pérdida de fluido por manguerote-PAE;Se detectó una pérdida de agua dulce por una junta en el manguerote de transferencia de agua. Se da aviso para su reparación.;5;5;X;1: Registrable;;PAN AMERICAN ENERGY, S.L., SUC. ARG;;LINDERO ATRAVESADO OCCIDENTAL; ;Camino del Perilago;Manguerote;;;; ;;;LIBERACIÓN DE PRESIÓN, PROYECCIÓN DE FLUIDO/OBJETO;Manguera en mal estado;No aplica;Upstream;Neuquen;1;LOC;OTROS;NQN-OPC;NO APLICA;NO APLICA;0;0;0;0;0;0;;
INSTALACIONES;199;06/08/2017;20:00:00;Fuga menor de gas;Mientras se ejecutaban trabajos de mantenimiento del parque compresor del punto B se detecta una fuga de gas por un niple de 1” vinculado a la línea de venteo del MC6, no se registran lesiones personales ni daños materiales. La instalación estaba parada.;5;5;X;2: No Registrable;; ;;LINDERO ATRAVESADO OCCIDENTAL;;Galpón de compresores Punto B;Moto Compresor#6;;;; ;Lindero Atravesado;;; ; ;Upstream;Neuquen;1;LOC;PRODUCCIÓN & MANTENIMIENTO;NQN-LA-D;; ;0;0;0;0;0;0;;
VEHICULAR;178768;23/08/2022;14:47:00;LIN 2022-08-23-O&M-Inc Vehiculares-CVM Ex-Rotura de vidrio- Meier y Fischer SRL;"Operarios movilizándose en camioneta desde Lindero occidental hacia Lindero oriental, se cruzan con otra camioneta que venía en sentido contrario pisa una piedra y salta al vidrio trasero izquierdo impactando sobre la superficie, provoca la rotura casi total del vidrio sin producir lesiones en el conductor y
acompañante.
El grupo de trabajo estaciona en un área segura y activa el rol de emergencias, el coordinador de emergencias de la operadora indica que asistan al servicio médico para control.
El grupo de trabajo se dirige a Lindero Oriental y continua su jornada de trabajo.";6;6;X;3: Excepción;;MEIER Y FISCHER SRL;Camioneta Pick Up Dominio AA217EE perteneciente a la contratista;LINDERO ATRAVESADO OCCIDENTAL;;Camino Principal entre Lindero Atravesado Occidental y Lindero Atravesado Oriental.;Pick Up;AA217EE;Hilux;Toyota; ;;Rotura;ROTURA DE EQUIPO;Ingreso a la línea de fuego;Seguridad vehicular;Upstream;Neuquen;1;LOC;PRODUCCIÓN & MANTENIMIENTO;NQN-MANTENIMIENTO;MANTENIMIENTO;AUTOMATIZACION / SISTEMAS DE CONTROL;0;0;0;0;0;0;;
INSTALACIONES;S7876;19/06/2019;;DODO COMBUSTIBLES SERRANO - TERCEROS - CAIDA DE TECHO EN PLAYA DE EE.SS;Durante obras de reforma se desploma techo de Estación de servicio.;5;5;X;1: Registrable;;;;;;;;;;;;;;;;;Downstream;AR;BSA;ARG;DO-COMERCIAL;DO-COMERCIAL;VENTAS RETAIL;;;;;;;;;
INSTALACIONES;S7902;42817;;CORS LAS HERAS - AUTO INGRESA INCENDIÁNDOSE;Un auto ingresó incendiándose a la playa.;5;5;X;1: Registrable;;;;;;;;;;;;;;;;;Downstream;AR;CAB;CABA;DO-COMERCIAL;DO-COMERCIAL;CORS;CORS-LAS HERAS;;;;;;;;
EQUIPOS;6810;13/08/2019;13:00:00;LIN 2019-08-13-INST-DAFWC-SE&RM-Vuelco de batea en repositorio-Confluencia Amb;Luego de transportar material dentro del repositorio, con el equipo posicionado el conductor inicia maniobra de descarga, cuando la batea está en su posición final vuelca de lado, lateral lado conductor. El operario sale por sus propios medios, es revisado por el servicio médico de yacimiento y trasladado a NQN para atención.;5;5;X;1: Registrable;Sí;CONFLUENCIA AMBIENTE & SEGURID;;LINDERO ATRAVESADO OCCIDENTAL; ;Repositorio Occidental;Batea tres ejes dominio  GOD003;;;; ;;;; ;Equipamiento en movimiento;Upstream;Neuquen;1;LOC;OTROS;NQN-SE&RM;SE&RM;AMBIENTE;0;0;0;0;0;0;;
INSTALACIONES;S8547;09/11/2017;;PD 11 EC MRT  Rotura vidrio lateral lado conductor, por piedra desprendida de 3PV;EC regresaba vacío por RN 34 y entre las localidades de Forres y Fernandez, cruza un camión de bateas con piedras, una de ellas impacta en el vidrio lateral lado conductor. El vidrio se rompe pero queda sostenido por el film anti-vandálico.;5;5;X;1: Registrable;;;;;;;;;;;;;;;;;Downstream;Tabasco;NO APLICA;NOAPLICA;OTROS;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;;;;;;;;;
VEHICULAR;S8549;09/11/2017;;DVA 50 EC TJB Roce lateral con VL;Se produce un roce entre el sector delantero derecho del tractor del EC TJB cargado y la puerta trasera izquierda de un VL cuyo conductor sobrepasa al EC por la derecha. Por su estado nervioso, para continuar el viaje a destino, el chofer e;5;5;X;2: No Registrable;;;;;;;;;;;;;;;;;Downstream;Tabasco;NO APLICA;NOAPLICA;OTROS;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;;;;;;;;;
INSTALACIONES;S6488;42575;10:37;Corte cable alimentación campamento;Al querer salir de la locación el chofer de tractorcarretón pasa por encima de la bandeja pasacables, cuando pasa el último eje que estaba levantado (neumático) arrastra la bandeja provocando el corte del cable principal de energía del campamento.;5;5;X;1: Registrable;;;;;;PO-1128;;;;;;;;;;;Upstream;Golfo San Jorge;9;ORIENTAL;PERFORACIÓN & WO;GSJ-PERFORACIÓN, COMPLETACIÓN , WO Y PULLING;PERFORACIÓN;PERFORACIÓN;;;;;;;;
INSTALACIONES;S9294;01/06/2018;;AR alarma SE-33kv;En ronda operativa en SE-33KV , el operador detecta una alarma de SMOKE sotano celdas , en el panel de alarmas de incendio NFS-320.;6;5;X;1: Registrable;;;;;;;;;;;;;;;;;Downstream;CAR;CAR;CAR;DO-OPERACIONES;DO-OPERACIONES;OP - REFINERÍA;REFINERIA  -  AREA3;;;;;;;;
EQUIPOS;6810;13/08/2019;13:00:00;LIN 2019-08-13-INST-DAFWC-SE&RM-Vuelco de batea en repositorio-Confluencia Amb;Luego de transportar material dentro del repositorio, con el equipo posicionado el conductor inicia maniobra de descarga, cuando la batea está en su posición final vuelca de lado, lateral lado conductor. El operario sale por sus propios medios, es revisado por el servicio médico de yacimiento y trasladado a NQN para atención.;5;5;X;1: Registrable;Sí;CONFLUENCIA AMBIENTE & SEGURID;;LINDERO ATRAVESADO OCCIDENTAL;;Repositorio Occidental;Ford Cargo 1730 dominio EWG474; ; ; ; ;;Vuelco;; ;Equipamiento en movimiento;Upstream;Neuquen;1;LOC;OTROS;NQN-SE&RM;SE&RM;AMBIENTE;0;0;0;0;0;0;;
INSTALACIONES;S9236;24/05/2018;;TG - Rotura de una pata en escalera que se utiliza para disponer de productos purgados.;Rotura de una pata en escalera que se utiliza para disponer de productos purgados.;6;5;X;1: Registrable;;;;;;;;;;;;;;;;;Downstream;Distribución;DIS;DIS;DO-OPERACIONES;DO-OPERACIONES;OP - DISTRIBUCIÓN;TERMINAL GALVAN;;;;;;;;
VEHICULAR;S9281;07/06/2018;;DVA 25 EC TJB - Roce con VL en Av. Constituyentes, CABA;Mientras el EC TJB vacío se encontraba circulando por Av Constituyentes por el carril izqueirdo ( ya que en el carril derecho se encontraban vehículos estacionados), ve que por mano derecha lo intenta sobrepasar un VL pero el mismo  no lleg;5;5;X;2: No Registrable;;;;;;;;;;;;;;;;;Downstream;Tabasco;NO APLICA;NOAPLICA;OTROS;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;;;;;;;;;
INSTALACIONES;6810;13/08/2019;13:00:00;LIN 2019-08-13-INST-DAFWC-SE&RM-Vuelco de batea en repositorio-Confluencia Amb;Luego de transportar material dentro del repositorio, con el equipo posicionado el conductor inicia maniobra de descarga, cuando la batea está en su posición final vuelca de lado, lateral lado conductor. El operario sale por sus propios medios, es revisado por el servicio médico de yacimiento y trasladado a NQN para atención.;5;5;X;1: Registrable;Sí;CONFLUENCIA AMBIENTE & SEGURID;;LINDERO ATRAVESADO OCCIDENTAL;;Repositorio Occidental;Ford Cargo 1730 dominio EWG474; ; ; ; ;;Vuelco;; ;Equipamiento en movimiento;Upstream;Neuquen;1;LOC;OTROS;NQN-SE&RM;SE&RM;AMBIENTE;0;0;0;0;0;0;;
INSTALACIONES;S9241;22/05/2018;;CORS LAFERRERE - Principio de incendio en Vehículo;Se da  informe de un principio de incendio en un vehículo, el hecho sucedió en la playa de líquidos. El vehículo modelo Fiat Duna color azul, ingresa en la posición de carga numero 4 siendo empujado por sus ocupantes, cargan combustible y a;6;5;X;1: Registrable;;;;;;;;;;;;;;;;;Downstream;AR;BSA;LAFE;OTROS;DO-COMERCIAL;CORS;CORS-LAFERRERE;;;;;;;;
VEHICULAR;S9268;08/05/2018;;DVA 15  EC TJB Choque parte trasera trailer con VL en semaforo, por deslizamiento de EC hacia atrás;EC TJB cargado detenido en semáforo de la  calle Donado, intersección Crisologo Larralde esperando la habilitación para avanzar, al chofer se le desliza el pie del pedal de freno, haciendo que la unidad se vaya hacia atrás y  golpee  con el;6;5;X;3: Excepción;;;;;;;;;;;;;;;;;Downstream;Tabasco;NO APLICA;NOAPLICA;OTROS;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;;;;;;;;;
INSTALACIONES;S6503;42585;2:00;Manifestación de agua;Sacando herramienta para cambio de BHA entre 340 mts se observa insuficiente llenado de pozo, realiza Flow Check y se observa desplazamiento positivo, con flujo de 144 litro por hora. Se baja herramienta al fondo se realiza cierre de pozo y controla presi;5;5;X;1: Registrable;;;;;;Pozo Bce-101;;;;;;;;;;;Upstream;Neuquen;N/D;BANDURRIA CENTRO;PERFORACIÓN & WO;NQN-DRILLING & COMPLETION;DRILLING & COMPLETION;PERFORACION;;;;;;;;
INSTALACIONES;6810;13/08/2019;13:00:00;LIN 2019-08-13-INST-DAFWC-SE&RM-Vuelco de batea en repositorio-Confluencia Amb;Luego de transportar material dentro del repositorio, con el equipo posicionado el conductor inicia maniobra de descarga, cuando la batea está en su posición final vuelca de lado, lateral lado conductor. El operario sale por sus propios medios, es revisado por el servicio médico de yacimiento y trasladado a NQN para atención.;5;5;X;1: Registrable;Sí;CONFLUENCIA AMBIENTE & SEGURID;;LINDERO ATRAVESADO OCCIDENTAL; ;Repositorio Occidental;Batea tres ejes dominio  GOD003;;;; ;;;; ;Equipamiento en movimiento;Upstream;Neuquen;1;LOC;OTROS;NQN-SE&RM;SE&RM;AMBIENTE;0;0;0;0;0;0;;
VEHICULAR;S9427;42869;;DVA 11 EC TJB - Roce en maniobra de giro, con 3PV pasando por la derecha.;EC TJB cargado, con destino a SS Luis Viale, al ingresar a Trelles desde Av. Warnes, doblando a su derecha en el cruce del paso a nivel, es adelantado por la derecha por un taxi que lo impacta con el guardabarros izquierdo delantero en la p;5;5;X;2: No Registrable;;;;;;;;;;;;;;;;;Downstream;Tabasco;NO APLICA;NOAPLICA;OTROS;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;;;;;;;;;
INSTALACIONES;1174;01/01/2018;22:00:00;Principio de incendio en Tablero VDF;"Operador al detectar por scada  paro de electrocompresor K5 de propano en LOC 2,  se dirige al lugar y detecta un principio de incendio en tablero de variador de frecuencia. 
Al llegar al tablero  observa humo y cables quemados en la zona del interruptor principal. En forma inmediata desenergiza tablero desde tablero principal en LOC 3. No hay lesionados solos daños materiales.";5;5;X;2: No Registrable;;Pan American Energy LLC - Suc. Arge;;LINDERO ATRAVESADO OCCIDENTAL; ;Tablero VDF de electrocompresor K5 en LOC 2;Tablero VDF Electrocompresor K5;;;; ;;;; ; ;Upstream;Neuquen;1;LOC;PRODUCCIÓN & MANTENIMIENTO;NQN-LA-D;; ;0;0;0;0;0;0;;
VEHICULAR;169023;08/07/2022;12:10:00;LIN 2022-07-08-RRHH-CVM O8 NR-Colisión contra protección metálica-Bacs SA;Operario se encontraba retirándose del Yacimiento en un vehículo pickup. En un momento dobla hacia la derecha, no se percata del protector metálico de una cámara (que se encontraba a una altura de 40 cm. aprox.) y lo impacta con el vehículo en el lateral, produciendo daños en la parte inferior de puerta del acompañante y puerta trasera. Sin heridos.;6;6;X;3: Excepción;;BACS SOCIEDAD ANONIMA;;LINDERO ATRAVESADO OCCIDENTAL;;Estacionamiento del tráiler de Facilities;Camioneta (Int. 343);AD691IM;Hilux 4x2;Toyota; ;;Colisión contra objeto fijo;COLISIÓN DE VEHÍCULO;Falta de observación durante la tarea;Seguridad vehicular;Upstream;Neuquen;1;LOC;OTROS;NQN-RECURSOS HUMANOS;RECURSOS HUMANOS;SERVICIOS CENTRALES;0;0;0;0;0;0;;
INSTALACIONES;4253;18/12/2018;19:40:00;LIN 2018-12-18-Inst-SPP-Toque a barrera por vehiculo de tercero-PAE;Vehículo particular impacta contra la barrera automática al pasar detrás de una unidad que salía y la misma estaba bajando, no se registran lesiones personales;5;5;No Laboral;1: Registrable;;;;LINDERO ATRAVESADO OCCIDENTAL;;Puesto de control acceso Occidental;;;;;;;;; ;Seguridad vehicular;Upstream;Neuquen;1;LOC;OTROS;NQN-SEGURIDAD PATRIMONIAL;SEGURIDAD PATRIMONIAL;NO APLICA;0;0;0;0;0;0;;
INSTALACIONES;4758;13/02/2019;12:30:00;LIN 2019-02-13-INST-D&C-Corte de eslinga (cola de zorro) en izaje de tk-Crexell;"Durante la carga de tanque de Gas oíl de PAE a carretón se produce el corte del dispositivo de cola de zorro debido que se traba del patín con el rolo del carretón cortando la eslinga.Solo se produce daño material (cable de 1 “).-";5;5;X;1: Registrable;;Pan American Energy LLC - Suc. Arge;;LINDERO ATRAVESADO OCCIDENTAL; ;Locación pozos ECH104/106;Tk cilindrico horizontal 80m3;;;; ;;;; ; ;Upstream;Neuquen;1;LOC;PERFORACIÓN & WO;NQN-DRILLING & COMPLETION;DRILLING & COMPLETION;PERFORACION;0;0;0;0;0;0;;
INSTALACIONES;4758;13/02/2019;12:30:00;LIN 2019-02-13-INST-D&C-Corte de eslinga (cola de zorro) en izaje de tk-Crexell;"Durante la carga de tanque de Gas oíl de PAE a carretón se produce el corte del dispositivo de cola de zorro debido que se traba del patín con el rolo del carretón cortando la eslinga.Solo se produce daño material (cable de 1 “).-";5;5;X;1: Registrable;;TRANSPORTES CREXELL SA;;LINDERO ATRAVESADO OCCIDENTAL;;Locación pozos ECH104/106;Carretón con rolo AA367YT; ; ; ; ;;;; ; ;Upstream;Neuquen;1;LOC;PERFORACIÓN & WO;NQN-DRILLING & COMPLETION;DRILLING & COMPLETION;PERFORACION;0;0;0;0;0;0;;
INSTALACIONES;4758;13/02/2019;12:30:00;LIN 2019-02-13-INST-D&C-Corte de eslinga (cola de zorro) en izaje de tk-Crexell;"Durante la carga de tanque de Gas oíl de PAE a carretón se produce el corte del dispositivo de cola de zorro debido que se traba del patín con el rolo del carretón cortando la eslinga.Solo se produce daño material (cable de 1 “).-";5;5;X;1: Registrable;;TRANSPORTES CREXELL SA;;LINDERO ATRAVESADO OCCIDENTAL;;Locación pozos ECH104/106;Tractor con guinche AB135NH; ; ; ; ;;Rotura;; ; ;Upstream;Neuquen;1;LOC;PERFORACIÓN & WO;NQN-DRILLING & COMPLETION;DRILLING & COMPLETION;PERFORACION;0;0;0;0;0;0;;
VEHICULAR;111708;20/08/2021;02:15:00;LIN 2021-08-19-SSPP-CVM O8 NR-Rotura de espejo por impacto con caballo-Sacatuc;Patrulla 2 volviendo desde LOC a LOR, sorpresivamente le aparece un caballo de color oscuro del lado izquierdo. Logra esquivarlo pero lo impacta con el espejo izquierdo ocasionando que el mismo se desprenda y se genera una abolladura en la puerta del conductor. Sin heridos.;58;6;X;2: No Registrable;;SACATUC SRL;;LINDERO ATRAVESADO OCCIDENTAL;;Camino del acueducto;Patrulla 2 (Int. 16);AC455LU;Hilux 4x4;Toyota; ;;;COLISIÓN DE VEHÍCULO;Falta de observación durante la tarea;Seguridad vehicular;Upstream;Neuquen;1;LOC;OTROS;NQN-SEGURIDAD PATRIMONIAL;SEGURIDAD PATRIMONIAL;NO APLICA;0;0;0;0;0;0;;
